Country, Rank, City, Population, Cost of Living
Zimbabwe,74,$698,BangkokThailand   Population  5.68M     Cost of living  $981
Rwanda,75,$944,AmsterdamNetherlands   Population  921K     Cost of living  $2412
Guinea,76,$512,KobeJapan   Population  1.52M     Cost of living  $1274
South Sudan,77,$1520,GwangjuSouth Korea   Population  1.49M     Cost of living  $970
Belgium,78,$431,BaghdadIraq   Population  6.96M     Cost of living  $857
Tunisia,79,$428,AdelaideAustralia   Population  1.3M     Cost of living  $2153
Burundi,80,$1234,DaejeonSouth Korea   Population  1.48M     Cost of living  $1009
Cuba,81,$728,MeccaSaudi Arabia   Population  1.68M     Cost of living  $977
Benin,82,$697,LuandaAngola   Population  2.49M     Cost of living  $1005
Bolivia,83,$701,AhmedabadIndia   Population  7.65M     Cost of living  $684
Somalia,84,$527,SapporoJapan   Population  1.96M     Cost of living  $1101
Haiti,85,$1284,TaichungTaiwan   Population  3.03M     Cost of living  $971
Czech Republic,86,$1087,BirminghamUnited Kingdom   Population  1.14M     Cost of living  $1854
Greece,87,$830,SuwonSouth Korea   Population  1.23M     Cost of living  $1046
Jordan,88,$1479,OttawaCanada   Population  1.02M     Cost of living  $2005
Sweden,89,$828,BarcelonaSpain   Population  1.64M     Cost of living  $1720
Dominican Republic,90,$1180,UlsanSouth Korea   Population  1.15M     Cost of living  $1120
Portugal,91,$641,HuamboAngola   Population  844K     Cost of living  $738
Azerbaijan,92,$1680,Mbuji-MayiDR Congo   Population  2.89M     Cost of living  $1043
United Arab Emirates,93,$969,StockholmSweden   Population  979K     Cost of living  $1936
Hungary,94,$614,SendaiJapan   Population  1.06M     Cost of living  $1103
Belarus,95,$1707,ZurichSwitzerland   Population  443K     Cost of living  $3262
Israel,96,$1668,KaohsiungTaiwan   Population  2.73M     Cost of living  $903
Austria,97,$538,EdmontonCanada   Population  1.01M     Cost of living  $1742
Papua New Guinea,98,$591,CologneGermany   Population  1.07M     Cost of living  $1751
Tajikistan,99,$2850,WarsawPoland   Population  1.86M     Cost of living  $1389
